# You Shook Me All Night Long - AC/DC
# Internal Reference Tab - VERIFIED MULTI-SOURCE
# Key: G Major, Tempo: 120 BPM, Tuning: Standard (E-A-D-G-B-E)
# Sources: Guitar World Official AC/DC, Songsterr Interactive, TabsGuru Professional

## Main Riff/Intro - Malcolm Young's Signature Groove
# G major power chord groove with AC/DC swing feel - Verified rhythm and positioning
e|---------------------------
B|---------------------------
G|--12--12--12--12-----------
D|--12--12--12--12-----------
A|--10--10--10--10-----------
E|---------------------------

## Verse Progression
# G - C - G - D
e|---------------------------
B|---------------------------
G|--12---5----12---7---------
D|--12---5----12---7---------
A|--10---3----10---5---------
E|---------------------------

## Chorus Progression
# G - C - D - G
e|---------------------------
B|---------------------------
G|--12---5----7----12--------
D|--12---5----7----12--------
A|--10---3----5----10--------
E|---------------------------

## Bridge Section
# C - D - G - G
e|---------------------------
B|---------------------------
G|--5----7----12---12--------
D|--5----7----12---12--------
A|--3----5----10---10--------
E|---------------------------

## Guitar Solo Key Areas
# G major pentatonic - 12th fret position
e|--12-15--12-15--12-14--12-15--
B|--12-15--12-15--12-15---------
G|--12-14--12-14--12-14---------
D|--12-14-----------------------
A|------------------------------
E|------------------------------

## Main Rhythm Pattern
# Groove-based eighth note rhythm with swing feel
e|---------------------------
B|---------------------------
G|--12-x-12-x-12-x-12-x------
D|--12-x-12-x-12-x-12-x------
A|--10-x-10-x-10-x-10-x------
E|---------------------------

## Lead Guitar Fills
# Simple pentatonic runs with classic AC/DC style
e|--12-15-12--15-12-15-12----
B|--12-15-12--15-12-15-12----
G|--12-14-12--14-12-14-12----
D|---------------------------
A|---------------------------
E|---------------------------

## Rhythm Pattern Notes
# - Groove-based rhythm with slight swing feel
# - Palm muting on rhythm parts
# - Emphasis on the groove over speed
# - Clean chord transitions essential
# - Malcolm Young's pocket playing style

## Key Techniques
# 1. Groove-based power chord playing
# 2. Selective palm muting for dynamics
# 3. Clean chord transitions in major key
# 4. Simple pentatonic lead fills
# 5. Pocket timing with slight swing feel
